FFPC ID,Player,Position,ADP,Times Drafted,Date
10025,Julio Jones,WR,204.11,60,2022-07-11
T0742,Rob Gronkowski,TE,271.55,39,2022-07-11
14038,Mike Evans,WR,20.21,62,2022-07-10
26943,Chris Godwin,WR,68.97,62,2022-07-10
27341,Russell Gage,WR,76.45,62,2022-07-10
5228,Tom Brady,QB,81.13,62,2022-07-10
24443,Cameron Brate,TE,165.68,62,2022-07-10
10025,Julio Jones,WR,207.97,58,2022-07-10
T0742,Rob Gronkowski,TE,269.35,38,2022-07-10
14038,Mike Evans,WR,20.3,60,2022-07-09
26943,Chris Godwin,WR,69.58,60,2022-07-09
27341,Russell Gage,WR,78.08,60,2022-07-09
5228,Tom Brady,QB,81.95,60,2022-07-09
24443,Cameron Brate,TE,165.37,60,2022-07-09
10025,Julio Jones,WR,214.6,55,2022-07-09
T0742,Rob Gronkowski,TE,266.42,38,2022-07-09
14038,Mike Evans,WR,20.42,59,2022-07-08
26943,Chris Godwin,WR,70.73,59,2022-07-08
27341,Russell Gage,WR,80.05,59,2022-07-08
5228,Tom Brady,QB,81.46,59,2022-07-08
24443,Cameron Brate,TE,164.53,59,2022-07-08
10025,Julio Jones,WR,222.56,52,2022-07-08
T0742,Rob Gronkowski,TE,259.86,40,2022-07-08
14038,Mike Evans,WR,20.29,59,2022-07-07
26943,Chris Godwin,WR,70.69,59,2022-07-07
27341,Russell Gage,WR,79.92,59,2022-07-07
5228,Tom Brady,QB,80.56,59,2022-07-07
24443,Cameron Brate,TE,163.39,59,2022-07-07
10025,Julio Jones,WR,220.17,54,2022-07-07
T0742,Rob Gronkowski,TE,256.78,41,2022-07-07
14038,Mike Evans,WR,20.57,56,2022-07-06
26943,Chris Godwin,WR,70.09,56,2022-07-06
5228,Tom Brady,QB,79.88,56,2022-07-06
27341,Russell Gage,WR,80.36,56,2022-07-06
24443,Cameron Brate,TE,162.07,56,2022-07-06
10025,Julio Jones,WR,224.68,51,2022-07-06
T0742,Rob Gronkowski,TE,256.61,38,2022-07-06
14038,Mike Evans,WR,20.5,56,2022-07-05
26943,Chris Godwin,WR,70,56,2022-07-05
5228,Tom Brady,QB,79.3,56,2022-07-05
27341,Russell Gage,WR,81.39,56,2022-07-05
24443,Cameron Brate,TE,163.5,56,2022-07-05
10025,Julio Jones,WR,227.54,51,2022-07-05
T0742,Rob Gronkowski,TE,249.43,40,2022-07-05
14038,Mike Evans,WR,20.4,53,2022-07-04
26943,Chris Godwin,WR,70.04,53,2022-07-04
5228,Tom Brady,QB,78.75,53,2022-07-04
27341,Russell Gage,WR,82.08,53,2022-07-04
24443,Cameron Brate,TE,164.15,53,2022-07-04
10025,Julio Jones,WR,234.79,45,2022-07-04
T0742,Rob Gronkowski,TE,247,38,2022-07-04
14038,Mike Evans,WR,20.69,49,2022-07-03
26943,Chris Godwin,WR,69.29,49,2022-07-03
5228,Tom Brady,QB,79.04,49,2022-07-03
27341,Russell Gage,WR,82.57,49,2022-07-03
24443,Cameron Brate,TE,164.73,49,2022-07-03
10025,Julio Jones,WR,233.43,42,2022-07-03
T0742,Rob Gronkowski,TE,239.12,36,2022-07-03
14038,Mike Evans,WR,20.88,43,2022-07-02
26943,Chris Godwin,WR,67.88,43,2022-07-02
5228,Tom Brady,QB,79.58,43,2022-07-02
27341,Russell Gage,WR,81.86,43,2022-07-02
24443,Cameron Brate,TE,165.91,43,2022-07-02
10025,Julio Jones,WR,229.74,38,2022-07-02
T0742,Rob Gronkowski,TE,230.26,33,2022-07-02
14038,Mike Evans,WR,21.59,46,2022-07-01
26943,Chris Godwin,WR,67.41,46,2022-07-01
5228,Tom Brady,QB,80.57,46,2022-07-01
27341,Russell Gage,WR,83.7,46,2022-07-01
24443,Cameron Brate,TE,165.37,46,2022-07-01
T0742,Rob Gronkowski,TE,215.46,38,2022-07-01
10025,Julio Jones,WR,228.67,41,2022-07-01
14038,Mike Evans,WR,22.13,47,2022-06-30
26943,Chris Godwin,WR,66.91,47,2022-06-30
5228,Tom Brady,QB,80.96,47,2022-06-30
27341,Russell Gage,WR,84.87,47,2022-06-30
24443,Cameron Brate,TE,166.17,47,2022-06-30
T0742,Rob Gronkowski,TE,209.87,41,2022-06-30
10025,Julio Jones,WR,230.87,41,2022-06-30
14038,Mike Evans,WR,22.31,45,2022-06-29
26943,Chris Godwin,WR,66.89,45,2022-06-29
5228,Tom Brady,QB,81.6,45,2022-06-29
27341,Russell Gage,WR,84.51,45,2022-06-29
24443,Cameron Brate,TE,166.47,45,2022-06-29
T0742,Rob Gronkowski,TE,203.89,40,2022-06-29
10025,Julio Jones,WR,234.93,38,2022-06-29
14038,Mike Evans,WR,22.79,43,2022-06-28
26943,Chris Godwin,WR,67,43,2022-06-28
5228,Tom Brady,QB,82.74,43,2022-06-28
27341,Russell Gage,WR,84.67,43,2022-06-28
24443,Cameron Brate,TE,166.6,43,2022-06-28
T0742,Rob Gronkowski,TE,200.7,38,2022-06-28
10025,Julio Jones,WR,236.81,36,2022-06-28
14038,Mike Evans,WR,23.05,44,2022-06-27
26943,Chris Godwin,WR,67.84,44,2022-06-27
5228,Tom Brady,QB,82.95,44,2022-06-27
27341,Russell Gage,WR,85.14,44,2022-06-27
24443,Cameron Brate,TE,165.91,44,2022-06-27
T0742,Rob Gronkowski,TE,191.43,40,2022-06-27
10025,Julio Jones,WR,241.91,36,2022-06-27
14038,Mike Evans,WR,23.11,46,2022-06-26
26943,Chris Godwin,WR,68.09,46,2022-06-26
5228,Tom Brady,QB,82.83,46,2022-06-26
27341,Russell Gage,WR,85.89,46,2022-06-26
24443,Cameron Brate,TE,164.13,46,2022-06-26
T0742,Rob Gronkowski,TE,188.02,42,2022-06-26
10025,Julio Jones,WR,245.17,36,2022-06-26
14038,Mike Evans,WR,23.49,43,2022-06-25
26943,Chris Godwin,WR,68.53,43,2022-06-25
5228,Tom Brady,QB,82.74,43,2022-06-25
27341,Russell Gage,WR,85.98,43,2022-06-25
24443,Cameron Brate,TE,166.07,43,2022-06-25
T0742,Rob Gronkowski,TE,179.65,40,2022-06-25
10025,Julio Jones,WR,251.44,32,2022-06-25
14038,Mike Evans,WR,23.91,43,2022-06-24
26943,Chris Godwin,WR,68.26,43,2022-06-24
5228,Tom Brady,QB,82.58,43,2022-06-24
27341,Russell Gage,WR,86.05,43,2022-06-24
T0742,Rob Gronkowski,TE,167.35,39,2022-06-24
24443,Cameron Brate,TE,171.07,43,2022-06-24
